id,time_utc,text,photos,CycloneName,Year,PortList,Condition,ConditionEffectiveTime,VesselOps,OceanVesselOps,FacilityOps
433,9/13/2023 17:36,Marine Safety Information Bulletin - Port Condition Whiskey  Hurricane Lee is currently a CAT 3 hurricane with the potential to impact New England Friday evening. Mariners should closely monitor the storm's progress and heed all advisories from the @NHC_Atlantic  #HurricaneLee https://t.co/iHqDFY7Hru,433_1.jpg; 433_2.jpg,LEE,2023,"Providence, Narragansett, MountHope, Buzzards, CapeCod",WHISKEY,9/13/2023 5:00,"All self-propelled vessels and barges over 500 GT must immediately notify the Captain of the Port of their intention to remain or depart; pleasure craft should seek safe harbor; all small craft owners should avoid operating in adverse conditions, secure their craft well away from waterways, double up mooring lines and remove hazardous materials.",,"Ports remain open to commerce but facility operators may be directed to terminate lightering or cargo transfer operations, rescind permits for marine events, and control vessel arrivals/departures; port managers, harbormasters, and marina managers must advise the Coast Guard when their facilities are nearing capacity for sheltered vessels; drawbridges and hurricane barriers may cease operations once high winds or evacuations begin."
39,9/8/2023 17:18,"Currently, @USCG Port Condition status for Puerto Rico and the U.S. Virgin Islands remains at Port Condition X-Ray. Seaports remain open to vessel traffic and facilities are reminded to review their heavy weather response plans.  Read more: https://t.co/e7yao4fFs2 https://t.co/Cueiydfv9w",39_1.jpg,LEE,2023,"SanJuan, Ponce, Mayaguez, Fajardo, Guayama, Arecibo, Guayanilla, Yabucoa, Vieques, Culebra, CharlotteAmalie, Christiansted, Frederiksted",X-RAY,9/8/2023 5:00,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 h of threatening winds should seek an alternate port.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition X-Ray is in effect.
40,9/6/2023 17:45,The Coast Guard strongly cautions the maritime community to remain vigilant and take the necessary precautions as Tropical Storm Lee approaches the U.S. Virgin Islands and Puerto Rico on a west-northwest track across the Central Atlantic.  Read more: https://t.co/vTafZZj7fw https://t.co/Np9YzrE1pj,40_1.jpg; 40_2.jpg,LEE,2023,"Arecibo, Ceiba, Culebra, Fajardo, Guanica, Guayama, LasMareas, Guayanilla, Mayaguez, Ponce, Salinas, Aguirre, SanJuan, StJohn, StThomas, StCroix, Tallaboa, Vieques, Yabucoa",WHISKEY,9/6/2023 10:00,All vessels that wish to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan prior to Port Condition X-Ray.,,Ports and facilities remain OPEN to all commercial traffic and cargo/transfer operations may continue while Port Condition WHISKEY is in effect.
41,9/6/2023 17:45,#Breaking @USCG set Port Condition WHISKEY Wednesday for all seaports in Puerto Rico and the U.S. Virgins Islands due to Tropical Storm Lee.,/,LEE,2023,"['PUERTO', 'VIRGINS']",WHISKEY,,,,
42,8/31/2023 17:21,@USCG @NWSMelbourne @NWSJacksonville #UPDATE @USCG Capt. of the Port has set Port Condition Four for #Jacksonville and #Fernandina.  The port is open with no restrictions.  More info here: https://t.co/fU3yAgWyp0 https://t.co/07oFgJKVoi Stay up to date on port conditions at: https://t.co/h7q09kLElf https://t.co/uZovw7tDjP,42_1.jpg,,2023,"Jacksonville, Fernandina",FOUR,8/31/2023 5:00,Port open with no restrictions; normal operations permitted.,,Port and facilities remain open and operating normally.
387,8/30/2023 23:02,"Coast Guard sets port condition Zulu for the Port of Morehead City, North Carolina, due to Tropical Storm Idalia.  The Coast Guard strongly cautions the maritime community to remain vigilant and take necessary precautions as Idalia approaches.  For more: https://t.co/Dnq1RgOmqk",/,IDALIA,2023,['MOREHEAD'],ZULU,,,,
43,8/30/2023 20:29,@USCG @NWSMelbourne @NWSJacksonville #UPDATE @USCG Capt. of the Port has set Port Condition Four for #PortCanaveral. The port is open with no restrictions. More info here: https://t.co/pyQt6LTK8K  Stay up to date on port conditions in #Jacksonville and #Fernandina at: https://t.co/h7q09kLElf https://t.co/fjFLpRDq8F,43_1.jpg,,2023,"Canaveral, Jacksonville, Fernandina",FOUR,8/30/2023 8:00,Port is open with no restrictions; normal operations permitted.,,Port and facilities remain open with no restrictions; normal operations continue.
388,8/30/2023 20:14,"Coast Guard sets port condition Zulu for the Port of Wilmington due to #HurricaneIdalia.  In port condition Zulu, the port is closed, and all port operations are suspended.  For more, visit: https://t.co/BJfB1dFHXz",/,IDALIA,2023,['WILMINGTON'],ZULU,,,,
44,8/30/2023 16:14,@USCG @NWSCharlestonSC #UPDATE @USCG Capt. of the Port for #Charleston has set Port Condition Zulu for coastal South Carolina ahead of Hurricane #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Stay up to date on port conditions in #SouthCarolina at: https://t.co/PAlQmvPqyi https://t.co/PGG2TEQMg8,44_1.jpg,IDALIA,2023,"Charleston, Georgetown, PortRoyal",ZULU,8/30/2023 4:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended except final preparations authorized by the Captain of the Port; facility storm preparations should now be complete.
45,8/30/2023 1:16,@USCG @NWSCharlestonSC #UPDATE @USCG Capt. of the Port for #Savannah and #Brunswick has set Port Condition Zulu ahead of Hurricane #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Stay up to date on port conditions in #Savannah &amp; #Brunswick at: https://t.co/ag5GO1Vl7K https://t.co/w5hiMTnx7v,45_1.jpg,IDALIA,2023,"Savannah, Brunswick",ZULU,8/29/2023 13:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility preparations should be completed.
46,8/30/2023 1:10,"@USCG @NWSMelbourne @NWSJacksonville #UPDATE @USCG Capt. of the Port has set Port Condition Zulu for #Jacksonville, #Fernandina &amp; #PortCanaveral ahead of Hurricane #Idalia. Follow @NWSMelbourne &amp; @NWSJacksonville for storm updates in your area. Stay up to date on port conditions at: https://t.co/h7q09kLElf https://t.co/BS64m5GxCi",46_1.jpg,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",ZULU,8/29/2023 13:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised that there are no safe havens in these facilities.,,All waterfront operations are suspended except for final safety preparations authorized by the Captain of the Port; facility storm preparations should now be completed.
47,8/30/2023 0:25,@USCG @NWSCharlestonSC #UPDATE @USCG Capt. of the Port for #Charleston has set Port Condition Yankee for coastal South Carolina ahead of Hurricane #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Stay up to date on port conditions in #SouthCarolina at: https://t.co/PAlQmvPqyi https://t.co/dQl6lvF5kW,47_1.jpg,IDALIA,2023,"Charleston, Georgetown",YANKEE,8/29/2023 12:00,Mariners are advised that no safe havens exist in the port; ports are safest when the inventory of vessels is at a minimum. All vessels should plan to depart early or seek alternate harbors if they cannot clear the port at least 8 hours before the onset of tropical-storm-force winds.,,"Port facilities should continue storm preparations, secure equipment and cargo, and reduce on-site vessel inventory; monitor Coast Guard Homeport for additional directives."
48,8/29/2023 17:05,"@USCG @NWSMelbourne @NWSJacksonville #UPDATE @USCG Capt. of the Port has set Port Condition Yankee for #Jacksonville, #Fernandina &amp; #PortCanaveral ahead of Hurricane #Idalia. Follow @NWSMelbourne &amp; @NWSJacksonville for storm updates in your area. Stay up to date on port conditions at: https://t.co/h7q09kLElf https://t.co/yMGvEbuEEH",48_1.jpg,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",YANKEE,8/29/2023 5:00,"Mariners are advised that ports offer no safe havens; all vessels, including barges and pleasure craft, should plan to depart the port early to keep vessel inventory to a minimum and avoid bridge closures.",,"Ports and facilities should reduce the number of vessels in port to a minimum, provide no refuge for vessels, and continue monitoring Coast Guard directives and Homeport notices for further restrictions."
49,8/29/2023 15:40,#UPDATE @USCG Capt. of the Port for #Savannah and #Brunswick has set Port Condition Yankee ahead of Hurricane #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Stay up to date on port conditions in #Savannah &amp; #Brunswick at: https://t.co/ag5GO1Vl7K https://t.co/0Jtoh5DuGU,49_1.jpg,IDALIA,2023,"Savannah, Brunswick",YANKEE,8/29/2023 3:00,"Mariners are reminded there are no safe havens in port; ports are safest when the inventory of vessels is at a minimum, and all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.",,"Port Condition Yankee is in effect; facilities should anticipate sustained winds within 24 hours, reduce vessel inventory, secure operations, stay off the water, secure belongings, and be prepared for evacuation and coastal flooding."
50,8/29/2023 12:46,"U.S. Coast Guard Captain of the Port for Tampa Bay set port condition Zulu in advance to #HurricaneIdalia.   Reminder, social media is not the place to report an emergency. Use VHF Ch. 16 or 911. #USCGIdalia https://t.co/5zrJ0GE4bK",50_1.jpg,IDALIA,2023,"Tampa, Manatee, StPetersburg",ZULU,8/29/2023 0:00,No vessels may enter or transit within the ports without the permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended; facility preparations should be completed.
51,8/29/2023 0:56,#UPDATE  @USCG Capt. of the Port for #Charleston has set Port Condition X-Ray for coastal #SouthCarolina ahead of Tropical Storm #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Make preparations for your family &amp; property well in advance of the storm. https://t.co/ujSs8qaMd4,51_1.jpg,IDALIA,2023,"Charleston, Georgetown",X-RAY,8/28/2023 12:00,"Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart South Carolina, Georgia, or Florida ports at least 24 hours before threatening winds should divert to an alternate port.",,Ports and facilities remain open to all commercial traffic and all cargo-transfer operations may continue while Port Condition X-RAY is in effect.
52,8/28/2023 22:01,#Breaking: @USCG Sector Key West set Port Condition #Yankee ahead of tropical storm conditions caused by #Idalia.   Gale force winds are expected within the next 24 hours. Make sure to secure all vessels against storm surge. @NWSKeyWest  Port Updates: https://t.co/j8QWmuBu7h https://t.co/U3dKza7oyK,52_1.jpg,IDALIA,2023,"KeyWest, Marathon",YANKEE,8/28/2023 10:00,"All vessels, including barges and pleasure craft, should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and must secure vessels against storm surge.",,Ports and facilities should reduce the number of vessels in port to a minimum and prepare for sustained 35–43 mph winds expected within 24 hours.
53,8/28/2023 19:51,@USCG @NWSCharlestonSC #UPDATE @USCG Capt. of the Port for #Savannah and #Brunswick has set Port Condition X-Ray ahead of Tropical Storm #Idalia. Follow @NWSCharlestonSC for the latest storm updates in your area. Make preparations for your family and property well in advance of the storm. https://t.co/xjIu5DMR8q,53_1.jpg,IDALIA,2023,"Savannah, Brunswick",X-RAY,8/28/2023 7:00,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan.,,Ports and facilities are open to all commercial traffic and may continue all transfer operations while Condition X-Ray is in effect.
54,8/28/2023 16:30,#Breaking @USCG Sector Key West has set Port Condition X-Ray ahead of tropical storm conditions caused by #Idalia. Follow @NWSKeyWest for the latest weather updates. Stay up to date on port conditions in Key West at: https://t.co/EY0X1Hr2jl https://t.co/v0vpwFmNhl,54_1.jpg,IDALIA,2023,KeyWest,X-RAY,8/28/2023 4:00,"Vessels wishing to remain must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for SC, GA or FL that cannot depart within 24 h of hazardous winds should seek an alternate port.",,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition X-Ray is in effect.
55,8/28/2023 16:08,"@USCG @NWSMelbourne @NWSJacksonville #UPDATE @USCG Capt. of the Port has set Port Condition X-Ray for #Jacksonville, #Fernandina &amp; #PortCanaveral ahead of Tropical Storm #Idalia. Follow @NWSJacksonville and @NWSMelbourne for storm updates. Make preparations for your family and property well in advance of the storm. https://t.co/CjBjO5ALip",55_1.jpg,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",X-RAY,8/28/2023 4:00,"Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot offload and depart at least 24 hours before hazardous winds should seek an alternate port.",,Ports and facilities are open to all commercial traffic and cargo transfer operations may continue while Port Condition X-RAY is in effect.
56,8/28/2023 14:53,#UPDATE This morning the Captain of the Port for St Petersburg set port condition Yankee ahead of Tropical Storm Idalia. https://t.co/QcaNYDm1WT,56_1.jpg,IDALIA,2023,"Tampa, Manatee, StPetersburg",YANKEE,8/28/2023 3:00,"All ocean-going vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and ports are safest when vessel inventory is at a minimum; vessels bound for SC, GA or FL that cannot safely offload and depart within 8 hours of threatening winds should seek an alternate port.",,"Ports and facilities should minimize vessel inventory, emphasize that no safe havens exist, and secure the area for sustained winds of 35–43 mph expected within 24 hours."
57,8/28/2023 14:29,.@USCG Sector #Charleston has set Port Condition Whiskey in advance of potential tropical storm conditions in the next 72 hours. Follow @NWSCharlestonSC for the latest storm updates. Stay up to date on port conditions in the #Charleston area at: https://t.co/PAlQmvPqyi https://t.co/9c0q0UiYXF,57_1.jpg,,2023,Charleston,WHISKEY,8/28/2023 2:00,"Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia, or Florida that cannot offload and depart at least 24 hours before threatening winds should seek an alternate port.",,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition WHISKEY is in effect.
58,8/28/2023 14:23,The @USCG Capt. of the Port for #Savannah and #Brunswick has set Port Condition Whiskey ahead of potential tropical storm conditions in the next 72 hrs. Follow @NWSCharlestonSC for storm updates in your area. Stay up to date on port conditions at: https://t.co/ag5GO1Vl7K https://t.co/dbcjtfMCOx,58_1.jpg,,2023,"Savannah, Brunswick",WHISKEY,8/28/2023 2:00,"Vessels that wish to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.",,Ports and facilities are open to all commercial traffic and cargo/transfer operations may continue while Condition WHISKEY is in effect.
59,8/28/2023 14:18,.@USCG Sector Jacksonville has set Port Condition Whiskey ahead of potential tropical storm conditions in the next 72 hrs. Follow @NWSMelbourne and @NWSJacksonville for storm updates. Stay up to date on port conditions in #PortCanaveral &amp; #Jacksonville at: https://t.co/h7q09kLElf https://t.co/41RGwrtrm6,59_1.jpg,,2023,"Canaveral, Jacksonville",WHISKEY,8/28/2023 2:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels that cannot offload and depart within 24 h of threatening winds should seek an alternate port.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition WHISKEY is in effect.
60,8/27/2023 17:44,#HappeningNow @USCG Sector St Petersburg set Port Condition Whiskey in advance of potential tropical storm conditions in the next 72 hours. Follow @NWSTampaBay for the latest storm updates. Stay up to date on port conditions in Tampa Bay at: https://t.co/4k1IaXW6uF https://t.co/5xA92SwZ7x,60_1.jpg,,2023,"Tampa, Manatee, StPetersburg",WHISKEY,8/27/2023 5:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition WHISKEY is in effect.
61,8/22/2023 21:54,@USCG strongly cautions the maritime community to remain vigilant and take precautions as TS Franklin moves across the Hispaniola.  Read more visit: https://t.co/etp9hF8vbv https://t.co/acT5tj06qR,61_1.jpg,FRANKLIN,2023,,WHISKEY,8/22/2023 9:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition WHISKEY is in effect.
62,8/22/2023 21:54,"@USCG set Port Condition WHISKEY Tuesday for Puerto Rico and the U.S. Virgins Islands due to Tropical Storm Franklin. During Port Condition WHISKEY, port facilities are currently open to commercial traffic and all transfer operations may continue.",/,FRANKLIN,2023,"['PUERTO', 'VIRGINS']",WHISKEY,,,,
361,7/20/2023 0:17,The @USCG Captain of the Port has advised all harbor facilities and vessels in the commercial harbors of Hawaii County to return to Hurricane Season Preparedness.   Hawaii County is longer in port condition X-RAY.  Read more here: https://t.co/S0tRuvocPP,/,HAWAII,2023,[],WHISKEY,,,,
362,7/18/2023 5:38,"The USCG Captain of the Port (COTP) has set port condition X-RAY for Hawaii County, Monday.  A follow-up Port Heavy Weather Condition update is scheduled for July 18, 2023, at 10 a.m. (HST).  Read more here: https://t.co/MKoFMZ83eo   #happeningnow #USCG https://t.co/fHsGa5SUqI",362_1.jpg,CALVIN,2023,"Hilo, Kawaihae",X-RAY,7/17/2023 17:00,,,
63,6/21/2023 16:49,"Coast Guard advises the maritime community to remain vigilant and monitor for any changes in the storms strength and trajectory, and for any Port Condition updates in the area.  For Port Condition updates: https://t.co/ngVPr5x4fO https://t.co/VK69NNkIAH",63_1.jpg,,2023,,WHISKEY,6/21/2023 4:00,"Vessels wishing to remain in port must contact the Captain of the Port for permission and submit a written safe-mooring plan. Vessels bound for Puerto Rico, the U.S. Virgin Islands, or Florida that cannot safely offload and depart at least 24 hours before threatening winds arrive should divert to an alternate port.",,"Ports and facilities remain open to all commercial traffic, and all cargo transfer operations may continue while Port Condition WHISKEY is in effect."
64,6/21/2023 16:49,@USCG Captain of the Port San Juan set Port Condition WHISKEY at 8 pm. Tuesday for the maritime ports in Puerto Rico and the U.S. Virgin Islands.,/,WHISKEY,2023,['SANJUAN'],WHISKEY,,,,
219,6/21/2023 16:00,"Coast Guard sets Port Condition WHISKEY for the U.S. Virgin Islands, Puerto Rico https://t.co/ekK0ewB6Ng",/,WHISKEY,2023,"['VIRGIN', 'PUERTO']",WHISKEY,,,,
220,6/21/2023 16:00,"Coast Guard sets Port Condition WHISKEY for the U.S. Virgin Islands, Puerto Rico https://t.co/opsvtCtqiJ",/,WHISKEY,2023,"['VIRGIN', 'PUERTO']",WHISKEY,,,,
65,11/10/2022 1:47,U.S. Coast Guard Captain of the Port for St. Petersburg set port condition Zulu for the Port of Hillsborough Bay and all other Southwest Florida terminals and facilities in advance to #HurricaneNicole.  Stay up to date on port conditions at https://t.co/lNWbbodupH https://t.co/NpZbznKRCa,65_1.jpg,NICOLE,2022,"Hillsborough, Tampa, StPetersburg, Manatee, Sarasota, Charlotte, FortMyers",ZULU,11/9/2022 13:00,All vessel movements are prohibited; no vessel may enter or transit the port without permission of the Captain of the Port; mariners are reminded ports offer no safe haven and vessel inventory should be at a minimum.,,All waterfront operations are suspended except final safety preparations approved by the Captain of the Port; facility storm preparations should be complete.
66,11/9/2022 1:43,#Update @USCG Captain of the Port for #Jacksonville set port condition #Yankee for #PortCanaveral ahead of Subtropical Storm Nicole. Please secure your vessels against storm surge and rising tides. #Prep  #USCG #D7 #SubtropicalStormNicole #Florida https://t.co/PoBG0wcLH8,66_1.jpg,NICOLE,2022,Canaveral,YANKEE,11/8/2022 13:00,"All vessels, barges and pleasure craft must begin plans to depart the port early so they are not blocked by bridge closures; mariners are reminded there are no safe havens in the port and inventory of vessels should be kept to a minimum; vessels unable to depart at least 8 h before the onset of threatening winds should seek an alternate port.",,"Ports and facilities should reduce the number of vessels alongside, ensure there are no vessels seeking refuge, and secure waterfront areas for expected sustained winds of 35–43 mph within 24 h."
67,11/8/2022 19:50,#Update @USCG Captain of the Port for #Charleston set port condition #Xray for the Ports of Charleston ahead of Tropical Storm Nicole.   Please secure your vessels against storm surge and rising tides.  #USCG #D7 #TropicalStormNicole https://t.co/L1yoPxNtqW,67_1.jpg,NICOLE,2022,Charleston,XRAY,11/8/2022 7:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to offload and depart at least 24 h before threatening winds should divert to an alternate port.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue.
68,11/8/2022 17:34,#Update @USCG Captain of the Port for #Jacksonville set port condition #Xray for #Fernandina and #Jacksonville ahead of Subtropical Storm Nicole.  Please secure your vessels against storm surge and rising tides.  #USCG #D7 #SubtropicalStormNicole #Florida https://t.co/uOwhrqnBfu,68_1.jpg,NICOLE,2022,"Fernandina, Jacksonville",XRAY,11/8/2022 5:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to safely off-load and depart within 24 h of threatening winds should seek an alternate port.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue under Condition XRAY.
69,11/8/2022 14:37,#UPDATE @ 8 am this morning the Captain of the Port for Miami set port condition Yankee ahead of Subtropical Storm Nicole. Anticipate drawbridges to be closed by 8 p.m. https://t.co/JTTGrHTzwV,69_1.jpg,NICOLE,2022,Miami,YANKEE,11/8/2022 8:00,"All ocean-going vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and ports are safest when vessel inventory is at a minimum.",,"Ports and facilities should minimize the number of vessels in port, prepare for drawbridge closures by 20:00, and ensure readiness for sustained winds within 24 hours."
70,11/8/2022 13:47,#Update @USCG Captain of the Port for #Jacksonville set port condition #Xray for #PortCanaveral ahead of Subtropical Storm Nicole. Please secure your vessels against storm surge and rising tides. #Prep  #USCG #D7 #SubtropicalStormNicole #Florida https://t.co/1HqOLgPT04,70_1.jpg,NICOLE,2022,"Jacksonville, Canaveral",XRAY,11/8/2022 1:00,Vessels that wish to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan; vessels unable to off-load and depart within 24 hours of the arrival of threatening winds should seek an alternate port.,,Ports and facilities are open to all commercial traffic and all cargo transfer operations may continue.
71,11/8/2022 8:43,#Update The Captain of the Port for #Miami set port condition #XRay ahead of Subtropical Storm Nicole. Please secure your vessels against storm surge and rising tides. #Prep https://t.co/oVww6RuFnY,71_1.jpg,NICOLE,2022,Miami,XRAY,11/7/2022 20:00,"Vessels desiring to remain in port must request permission from the Captain of the Port, provide a written safe-mooring plan, secure for storm surge and rising tides, and vessels unable to offload and depart within 24 h of threatening winds should divert to alternate ports.",,Ports and facilities are open to commercial traffic and transfer operations may continue at this time.
72,11/7/2022 21:53,"#Breaking @USCG Captain of the Port for #Jacksonville set port condition #Whiskey for the Ports of Fernandina, Jacksonville, and Port Canaveral, in preparation for Subtropical Storm Nicole.  Read: https://t.co/ID7BxvoKv0  #USCG #D7 #SubtropicalStormNicole  #Florida https://t.co/7F2q8kaS4D",72_1.jpg,NICOLE,2022,"Fernandina, Jacksonville, Canaveral",WHISKEY,11/7/2022 9:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should seek an alternate port.,,Ports and facilities remain open to all commercial traffic and all cargo-transfer operations may continue while Condition WHISKEY is in effect.
73,11/7/2022 20:47,#Breaking @USCG Captain of the Port for #Miami set port condition #Whiskey for the Ports of Miami in preparation for Subtropical Storm Nicole.  Read: https://t.co/DfcTvSbqTh  @PortEverglades @PortofPalmBeach @PortMiami @NWSMiami @MiamiDadeEM @MiamiDadeCounty @BrowardCounty https://t.co/4AXXb7DY0N,73_1.jpg,NICOLE,2022,"Miami, Everglades, PalmBeach",WHISKEY,11/7/2022 8:00,Vessels that want to stay in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to off-load and depart at least 24 h before hazardous winds should divert to another port.,,Ports and facilities remain open to all commercial traffic and may continue all transfer operations while Condition WHISKEY is in effect.
74,9/30/2022 14:54,#UPDATE @USCG Capt. of the Port for #Miami has opened all Ports in #Miami. For port condition updates in your area click the link below:  Port Updates: https://t.co/hs6ev6vXSg… https://t.co/6Gz2WthOIe,74_1.jpg,,2022,Miami,OPEN,9/30/2022 2:00,Normal operations may resume; port is open.,,Ports and facilities may resume normal operations; port condition lifted.
75,9/29/2022 18:05,#Breaking @USCG Capt. of the Port for #Charleston set Port Condition Zulu for Port of #Charleston ahead of #TropicalStormIAN.   Follow @NWSCharlestonSC for the latest storm updates in your area.  #USCG #D7 https://t.co/DC3F8ubuP7,75_1.jpg,IAN,2022,Charleston,ZULU,9/29/2022 6:00,No vessels may enter or transit within the port without permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended except final preparations permitted by the Captain of the Port; facility storm preparations should be completed.
76,9/28/2022 17:16,#UPDATE @USCG Capt. of the Port for #Jacksonville set Port Condition Zulu for Port of #Jacksonville and #Fernandina ahead of Hurricane #Ian. Follow @NWSJacksonville for the latest storm updates in your area.  #USCG #D7 https://t.co/eidARHdNfq,76_1.jpg,IAN,2022,"Jacksonville, Fernandina",ZULU,9/28/2022 5:00,No vessels may enter or transit the port without Captain-of-the-Port permission and all vessel movements are prohibited; mariners are reminded there are no safe havens and ports are safest when the vessel inventory is at a minimum.,,All waterfront cargo and terminal operations are suspended except final safety preparations authorized by the Captain of the Port; facility preparations should now be complete to ensure the safety of the ports and facilities.
77,9/28/2022 11:20,#UPDATE @USCG Capt. of the Port for #Jacksonville set Port Condition Zulu for #PortCanaveral ahead of #HurricaneIAN. Follow @NWSJacksonville  for the latest storm updates in your area. https://t.co/GtFu4rpwbP,77_1.jpg,IAN,2022,"Jacksonville, Canaveral",ZULU,9/27/2022 23:00,No vessels may enter or transit within the port without permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended except final safety preparations; facility preparations should be completed.
78,9/27/2022 17:41,#UPDATE @USCG Capt. of the Port for #Jacksonville set Port Condition Yankee for #PortCanaveral ahead of #TropicalStormIAN. Follow @NWSJacksonville  for the latest storm updates in your area. https://t.co/LMoCF7KzuG,78_1.jpg,IAN,2022,"Jacksonville, Canaveral",YANKEE,9/27/2022 5:00,"Mariners are advised that there are no safe havens in port; all ocean-going vessels, barges and pleasure craft should plan to depart early to avoid bridge closures and keep the number of vessels in port to a minimum.",,"Ports and waterfront facilities should continue storm preparations, ensure the inventory of vessels is minimized, and remind users that the facilities do not provide safe haven during the storm."
79,9/27/2022 2:28,#UPDATE @USCG Capt. of the Port for #KeyWest set Port Condition Zulu ahead of #TropicalStormIan. Follow @NWSKeyWest for the latest storm updates &amp;  @monroecounty for updates in your area.  Port updates: https://t.co/hs6ev6NzgQ… https://t.co/nwXZFlRZGZ,79_1.jpg,IAN,2022,"KeyWest, Marathon",ZULU,9/26/2022 14:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited and mariners should complete final safety preparations.,,"All waterfront operations are suspended; only final storm-safety preparations authorized by the Captain of the Port may continue, and facility preparations should now be complete."
80,9/26/2022 21:40,#UPDATE @USCG Capt. of the Port for #Jacksonville set Port Condition X-Ray for #PortCanaveral ahead of #TropicalStormIAN. Follow @NWSJacksonville  for the latest storm updates in your area. https://t.co/KURy2ENOf6,80_1.jpg,IAN,2022,"Jacksonville, Canaveral",X-RAY,9/26/2022 9:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should seek an alternate port.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue.
81,9/26/2022 20:20,"#HappeningNow USCG Sector St Pete set Port Condition YANKEE for #HurricaneIan, closing the port to inbound traffic. A flight survey of #Tampabay area ports was also completed. Follow @NWSTampaBay for storm updates. Port conditions in Tampa Bay at https://t.co/lNWbbov5Oh https://t.co/3REDjSpKYx",/,IAN,2022,"['TAMPA', 'BAY']",YANKEE,,,,
82,9/26/2022 14:33,#UPDATE @USCG Capt. of the Port for #KeyWest set Port Condition Yankee ahead of #TropicalStormIan. Follow @NWSKeyWest for the latest storm updates &amp;  @monroecounty for updates in your area.  Port updates: https://t.co/hs6ev6NzgQ… https://t.co/PxvV3N4Roe,82_1.jpg,IAN,2022,KeyWest,YANKEE,9/26/2022 2:00,Mariners are reminded there are no safe havens in these facilities and ports are safest when the inventory of vessels is at a minimum; all vessels should be prepared to depart and stay clear of the water.,,"Reduce vessel inventory to a minimum, recognize there are no safe havens within the port, and prepare facilities for possible closure and evacuation as necessary."
